requirements,requirement_type
"An oxygen system must be free from hazards in itself, in its method of operation, and its effect upon other components.","1"
"Each area where flammable fluids or vapors might escape by leakage of a fluid system must have a means to minimize the probability of fluid and vapor ignition, and the resultant hazard, if ignition occurs.","1"
"Each safety belt must be equipped with a metal to metal latching device.","0"
"Each fluid injection system must provide a flow of fluid at the rate and pressure established for proper engine functioning under each intended operating condition.","1"
"Hazardous accumulations of fluids, vapors, or gases must be isolated from the airplane and personnel compartments, and be safely contained or discharged.","0"
"Each fuel system must be designed and arranged to prevent ignition of the fuel within the system by direct lightning strikes or swept lightning strokes to areas where such occurrences are highly probable, or by corona or streamering at fuel vent outlets.","0"
"Each fuel system must be arranged so that any air which is introduced into the system will not result in flameout for turbine engines.","0"
"For level 4 airplanes, each baggage and cargo compartment must be accessible for the manual extinguishing of a fire, have a built - in fire extinguishing system, or be constructed and sealed to contain any fire within the compartment.","0"
"Each fuel system must be designed and arranged to provide independence between multiple fuel storage and supply systems so that failure of any one component in one system will not result in loss of fuel storage or supply of another system.","0"
"For levels 1, 2, and 3, the airplane must maintain lateral and directional trim in cruise without further force upon, or movement of, the primary flight controls or corresponding trim controls by the pilot, or the flight control system.","1"
"Equipment containing high - energy rotors must be designed or installed to protect the occupants and airplane from uncontained fragments.","0"
"The steady gradient of climb may not be less than 2. 1 percent for two - engine airplanes, 2. 4 percent for three - engine airplanes, and 2. 7 percent for four - engine airplanes, with the critical engine inoperative, the remaining engines at the go - around power or thrust setting.","2"
"Airplanes intended for operations on water, must provide buoyancy of 80 percent in excess of the buoyancy required to support the maximum weight of the airplane in fresh water.","2"
"There must be at least one - half inch longitudinal clearance between the propeller blades or cuffs and stationary parts of the airplane.","0"
"The landing gear must account for likely system failures and likely operation environments including anticipated limitation exceedances and emergency procedures.","1"
"High - speed airplanes must have recovery characteristics that do not result in structural damage or loss of control, beginning at any likely speed up to V _ MO / M _ MO, following an inadvertent speed increase.","2"
"Airplanes intended for operations on water, must have sufficient margin so the airplane will stay afloat at rest in calm water without capsizing in case of a likely float or hull flooding.","0"
"All airplanes must have a reliable means of stopping the airplane.","1"
"There must be a means to extinguish any fire in the cabin such that the pilot, while seated, can easily access the fire extinguishing means.","0"
"Each stop must be located so that wear, slackness, or take - up adjustments will not adversely affect the control characteristics of the airplane because of a change in the range of surface travel.","0"
"The airplane must provide protection for all occupants, accounting for likely flight, ground, and emergency landing conditions.","1"
"Each fuel system must provide the fuel necessary to ensure each powerplant and auxiliary power unit functions properly in all likely operating conditions.","2"
"Each flight recorder must be installed so that it receives its electrical power from the bus that provides the maximum reliability for operation of the flight data recorder without jeopardizing service to essential or emergency loads.","0"
"Any position and anti - collision lights must have the fields of coverage to provide sufficient time for another aircraft to avoid a collision.","0"
"Any position lights must include a red light on the left side of the airplane.","0"
"The airplane must be protected against catastrophic effects from lightning.","0"
"Balancing tabs must be designed for deflections consistent with the primary control surface loading conditions.","0"
"Each tank must have an expansion space of not less than 2 percent of the tank capacity.","0"
"Each fuel system must be designed to retain fuel under all likely operating conditions and minimize hazards to the occupants during any survivable emergency landing.","0"
"The airplane must be free from flutter, control reversal, and divergence accounting for any critical failures or malfunctions.","2"
"Each dual control system must be designed for the pilots operating in opposition, using individual pilot forces not less than 0. 75 times those obtained under Section 25 - 395.","0"
"The airplane structure must be designed to be able to withstand the pressure differential loads corresponding to the maximum relief valve setting multiplied by a factor of 1. 33 for airplanes to be approved for operation to 45, 000 feet or by a factor of 1. 67 for airplanes to be approved for operation above 45, 000 feet, omitting other loads.","0"
"Each reversing system must be designed so that the airplane is capable of continued safe flight and landing after any single failure, likely combination of failures, or malfunction of the reversing system.","0"
"The airplane must be controllable and maneuverable, without requiring exceptional piloting skill, alertness, or strength, within the operating envelope with likely reversible flight control or propulsion system failure.","1"
"Any position lights must include a white light facing aft, located on an aft portion of the airplane or on the wing tips.","0"
"Single - engine airplanes, not certified for aerobatics, must not have a tendency to inadvertently depart controlled flight.","2"
"Each component, line, fitting, and control subject to fire conditions must be designed and located to prevent hazards resulting from a fire, including any located adjacent to a designated fire zone that may be affected by fire within that zone.","0"
"For airplanes that have a system that actuates the landing gear there must be a positive means to keep the landing gear in the landing position.","0"
"There must be a propeller speed limiting means at the governor.","1"
"There must be a means to extinguish any fire in the cabin such that for levels 3 and 4 airplanes, passengers have a fire extinguishing means available within the passenger compartment.","0"
"Each cockpit voice recorder must be installed so that there is an automatic means to simultaneously stop the recorder and prevent each erasure feature from functioning, within 10 minutes after crash impact.","1"
"Wing flaps, their operating mechanisms, and their supporting structures must be designed for critical loads occurring in the conditions prescribed in Section 25 - 345, accounting for the loads occurring during transition from one flap position and airspeed to another.","0"
